household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,urban_rural
HH00001,-1.955656,30.047895,Nyarugenge,Gitega,2,5.0,piped,open_defecation,low,urban
HH00002,-1.931985,30.049664,Nyarugenge,Nyarugenge,1,4.0,unprotected_well,basic,low,urban
HH00003,-1.987447,30.093105,Nyarugenge,Kigali,0,2.0,protected_well,basic,medium,urban
HH00004,-1.918865,30.035571,Nyarugenge,Nyarugenge,2,4.0,piped,improved,high,urban
HH00005,-1.936967,30.049637,Nyarugenge,Nyarugenge,4,3.0,unprotected_well,basic,medium,rural
HH00006,-1.963207,30.077486,Nyarugenge,Kigali,3,5.0,unprotected_well,basic,medium,urban
HH00007,-1.978467,30.0873,Nyarugenge,Kigali,3,5.0,piped,improved,high,urban
HH00008,-1.921793,30.082458,Nyarugenge,Nyarugenge,0,2.0,piped,basic,high,urban
HH00009,-1.967391,30.0906,Nyarugenge,Kigali,3,4.0,protected_well,basic,medium,urban
HH00010,-1.972531,30.028583,Nyarugenge,Gitega,0,5.0,piped,limited,medium,urban
HH00011,-1.923523,30.064563,Nyarugenge,Nyarugenge,1,3.0,protected_well,basic,medium,urban
HH00012,-1.949092,30.027204,Nyarugenge,Nyarugenge,2,5.0,protected_well,improved,high,urban
HH00013,-1.932154,30.050482,Nyarugenge,Nyarugenge,3,2.0,piped,basic,medium,urban
HH00014,-1.951524,30.056343,Nyarugenge,Gitega,3,3.0,protected_well,improved,very_low,urban
HH00015,-1.97911,30.023856,Nyarugenge,Gitega,2,4.0,unprotected_well,improved,medium,urban
HH00016,-1.982929,30.054265,Nyarugenge,Gitega,2,3.0,protected_well,basic,medium,urban
HH00017,-1.986622,30.036632,Nyarugenge,Gitega,2,4.0,piped,improved,medium,urban
HH00018,-1.966494,30.026824,Nyarugenge,Gitega,2,4.0,unprotected_well,basic,medium,urban
HH00019,-1.970708,30.051309,Nyarugenge,Gitega,2,1.0,piped,limited,low,rural
HH00020,-1.93106,30.041358,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban
HH00021,-1.98439,30.082161,Nyarugenge,Kigali,0,5.0,piped,basic,medium,urban
HH00022,-1.959254,30.06431,Nyarugenge,Kigali,2,2.0,unprotected_well,improved,high,urban
HH00023,-1.95767,30.072686,Nyarugenge,Kigali,3,3.0,river_lake,improved,medium,urban
HH00024,-1.983416,30.021796,Nyarugenge,Gitega,4,1.0,unprotected_well,open_defecation,very_low,rural
HH00025,-1.929246,30.045274,Nyarugenge,Nyarugenge,3,5.0,protected_well,basic,medium,urban
HH00026,-1.979502,30.057473,Nyarugenge,Gitega,0,5.0,piped,improved,low,urban
HH00027,-1.915018,30.035715,Nyarugenge,Nyarugenge,1,2.0,piped,basic,very_low,urban
HH00028,-1.989443,30.069186,Nyarugenge,Kigali,2,3.0,piped,basic,high,urban
HH00029,-1.942009,30.08433,Nyarugenge,Nyarugenge,1,4.0,protected_well,basic,high,urban
HH00030,-1.974097,30.032038,Nyarugenge,Gitega,1,2.0,unprotected_well,limited,very_low,rural
HH00031,-1.927792,30.070718,Nyarugenge,Nyarugenge,0,5.0,piped,improved,medium,urban
HH00032,-1.912679,30.084349,Nyarugenge,Nyarugenge,0,4.0,piped,basic,high,urban
HH00033,-1.980694,30.041231,Nyarugenge,Gitega,1,5.0,protected_well,limited,low,urban
HH00034,-1.972965,30.086077,Nyarugenge,Kigali,0,3.0,unprotected_well,improved,medium,urban
HH00035,-1.945789,30.025325,Nyarugenge,Nyarugenge,1,4.0,protected_well,improved,low,urban
HH00036,-1.953161,30.026621,Nyarugenge,Gitega,0,4.0,piped,improved,high,urban
HH00037,-1.947865,30.067292,Nyarugenge,Nyarugenge,3,2.0,protected_well,improved,medium,urban
HH00038,-1.955955,30.061739,Nyarugenge,Kigali,2,4.0,piped,improved,medium,urban
HH00039,-1.935055,30.0619,Nyarugenge,Nyarugenge,1,3.0,piped,limited,high,urban
HH00040,-1.916257,30.092212,Nyarugenge,Nyarugenge,2,4.0,river_lake,limited,low,urban
HH00041,-1.968557,30.080569,Nyarugenge,Kigali,2,5.0,unprotected_well,improved,medium,urban
HH00042,-1.984409,30.079115,Nyarugenge,Kigali,1,4.0,piped,improved,medium,urban
HH00043,-1.92257,30.04375,Nyarugenge,Nyarugenge,3,3.0,unprotected_well,limited,medium,urban
HH00044,-1.956058,30.046103,Nyarugenge,Gitega,1,2.0,unprotected_well,improved,low,urban
HH00045,-1.962208,30.054429,Nyarugenge,Gitega,2,4.0,piped,basic,high,urban
HH00046,-1.912562,30.030993,Nyarugenge,Nyarugenge,3,3.0,river_lake,limited,medium,urban
HH00047,-1.939865,30.067206,Nyarugenge,Nyarugenge,0,3.0,piped,limited,medium,rural
HH00048,-1.971361,30.080905,Nyarugenge,Kigali,2,2.0,protected_well,basic,medium,urban
HH00049,-1.985316,30.023508,Nyarugenge,Gitega,0,5.0,protected_well,improved,low,urban
HH00050,-1.914065,30.081003,Nyarugenge,Nyarugenge,0,3.0,piped,improved,medium,urban
HH00051,-1.932484,30.050666,Nyarugenge,Nyarugenge,2,1.0,river_lake,limited,very_low,rural
HH00052,-1.934946,30.098931,Nyarugenge,Nyarugenge,3,3.0,protected_well,open_defecation,high,urban
HH00053,-1.92647,30.074888,Nyarugenge,Nyarugenge,1,4.0,piped,improved,low,urban
HH00054,-1.972307,30.032077,Nyarugenge,Gitega,3,3.0,unprotected_well,basic,high,urban
