household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,urban_rural,risk_score,risk_tier,top_drivers,intervention
HH00001,-1.955656,30.047895,Nyarugenge,Gitega,2,5.0,piped,open_defecation,low,urban,0.6817581326403982,high,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00002,-1.931985,30.049664,Nyarugenge,Nyarugenge,1,4.0,unprotected_well,basic,low,urban,0.7133270538493399,high,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00003,-1.987447,30.093105,Nyarugenge,Kigali,0,2.0,protected_well,basic,medium,urban,0.3157877221204794,low,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00004,-1.918865,30.035571,Nyarugenge,Nyarugenge,2,4.0,piped,improved,high,urban,0.008205807642804463,low,Number of children under 5 | Meal frequency (low) | Income level,Referral — CHW multi-child nutrition screening
HH00005,-1.936967,30.049637,Nyarugenge,Nyarugenge,4,3.0,unprotected_well,basic,medium,rural,0.7473743715061006,high,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00006,-1.963207,30.077486,Nyarugenge,Kigali,3,5.0,unprotected_well,basic,medium,urban,0.4564984594691944,moderate,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00007,-1.978467,30.0873,Nyarugenge,Kigali,3,5.0,piped,improved,high,urban,0.006642362095667402,low,Number of children under 5 | Meal frequency (low) | Income level,Referral — CHW multi-child nutrition screening
HH00008,-1.921793,30.082458,Nyarugenge,Nyarugenge,0,2.0,piped,basic,high,urban,0.04278005159736885,low,Meal frequency (low) | Sanitation access | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00009,-1.967391,30.0906,Nyarugenge,Kigali,3,4.0,protected_well,basic,medium,urban,0.2813036340930438,low,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00010,-1.972531,30.028583,Nyarugenge,Gitega,0,5.0,piped,limited,medium,urban,0.10248168168026824,low,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00011,-1.923523,30.064563,Nyarugenge,Nyarugenge,1,3.0,protected_well,basic,medium,urban,0.269997481341305,low,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00012,-1.949092,30.027204,Nyarugenge,Nyarugenge,2,5.0,protected_well,improved,high,urban,0.016748373101467706,low,Water source quality | Number of children under 5 | Meal frequency (low),WASH upgrade — connect to protected/piped water source
HH00013,-1.932154,30.050482,Nyarugenge,Nyarugenge,3,2.0,piped,basic,medium,urban,0.2379208656421536,low,Meal frequency (low) | Income level | Sanitation access,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
