household_id,lat,lon,district,sector,children_under5,avg_meal_count,water_source,sanitation_tier,income_band,urban_rural,risk_score,risk_tier,top_drivers,intervention
HH00001,-1.955656,30.047895,Nyarugenge,Gitega,2,5.0,piped,open_defecation,low,urban,0.7201410219016756,high,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00002,-1.931985,30.049664,Nyarugenge,Nyarugenge,1,4.0,unprotected_well,basic,low,urban,0.7855322481336702,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00003,-1.987447,30.093105,Nyarugenge,Kigali,0,2.0,protected_well,basic,medium,urban,0.3694704464790154,moderate,Water source quality | Meal frequency (low) | Income level,WASH upgrade — connect to protected/piped water source
HH00004,-1.918865,30.035571,Nyarugenge,Nyarugenge,2,4.0,piped,improved,high,urban,0.009862536117513499,low,Number of children under 5 | Meal frequency (low) | Income level,Referral — CHW multi-child nutrition screening
HH00005,-1.936967,30.049637,Nyarugenge,Nyarugenge,4,3.0,unprotected_well,basic,medium,rural,0.81849583387751,critical,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00006,-1.963207,30.077486,Nyarugenge,Kigali,3,5.0,unprotected_well,basic,medium,urban,0.5685719585943195,high,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00007,-1.978467,30.0873,Nyarugenge,Kigali,3,5.0,piped,improved,high,urban,0.008285302152860033,low,Number of children under 5 | Meal frequency (low) | Income level,Referral — CHW multi-child nutrition screening
HH00008,-1.921793,30.082458,Nyarugenge,Nyarugenge,0,2.0,piped,basic,high,urban,0.048104105749047874,low,Meal frequency (low) | Sanitation access | Number of children under 5,Nutrition — enroll in supplementary feeding (RUTF / Imbuto)
HH00009,-1.967391,30.0906,Nyarugenge,Kigali,3,4.0,protected_well,basic,medium,urban,0.36270392591760603,moderate,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
HH00010,-1.972531,30.028583,Nyarugenge,Gitega,0,5.0,piped,limited,medium,urban,0.11913125689850912,low,Sanitation access | Income level | Number of children under 5,Sanitation — install improved latrine (VIP/pour-flush)
HH00011,-1.923523,30.064563,Nyarugenge,Nyarugenge,1,3.0,protected_well,basic,medium,urban,0.3313179118880335,low,Water source quality | Income level | Sanitation access,WASH upgrade — connect to protected/piped water source
