district,sector,n_households,avg_risk_score,pct_high_risk
Gasabo,Kacyiru,215,0.4541,0.414
Gasabo,Kimironko,234,0.4214,0.3932
Gasabo,Remera,201,0.4374,0.3881
Kicukiro,Gahanga,186,0.4811,0.4462
Kicukiro,Masaka,175,0.3908,0.3486
Kicukiro,Niboye,189,0.4854,0.4392
Musanze,Kinigi,95,0.7006,0.7053
Musanze,Muhoza,107,0.7902,0.8224
Musanze,Shingiro,98,0.7614,0.7755
Nyanza,Busasamana,140,0.8227,0.8571
Nyanza,Cyabakamyi,117,0.8238,0.8718
Nyanza,Kibilizi,143,0.8758,0.9371
Nyarugenge,Gitega,197,0.3897,0.3655
Nyarugenge,Kigali,198,0.3453,0.3182
Nyarugenge,Nyarugenge,205,0.3954,0.3659
